COMMAND     PID  USER   FD      TYPE             DEVICE SIZE/OFF    NODE NAME
mate-sess 17532 sedna  mem       REG                8,1    67600  524761 /lib/x86_64-linux-gnu/libudev.so.1.3.5
mate-sess 17532 sedna  mem       REG                8,1   237504  139594 /usr/lib/x86_64-linux-gnu/gvfs/libgvfscommon.so
mate-sess 17532 sedna  mem       REG                8,1   202696  139210 /usr/lib/x86_64-linux-gnu/gio/modules/libgvfsdbus.so
mate-sess 17532 sedna  mem       REG                8,1   118392  139209 /usr/lib/x86_64-linux-gnu/gio/modules/libgioremote-volume-monitor.so
mate-sess 17532 sedna  mem       REG                8,1    90080  524625 /lib/x86_64-linux-gnu/libgcc_s.so.1
mate-sess 17532 sedna  mem       REG                8,1   979056  141291 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19
mate-sess 17532 sedna  mem       REG                8,1   134456  141117 /usr/lib/x86_64-linux-gnu/libproxy.so.1.0.0
mate-sess 17532 sedna  mem       REG                8,1    73296  139544 /usr/lib/x86_64-linux-gnu/gtk-2.0/modules/liboverlay-scrollbar.so
mate-sess 17532 sedna  mem       REG                8,1  7220720  931370 /usr/lib/locale/locale-archive
mate-sess 17532 sedna  mem       REG                8,1    26512  140183 /usr/lib/x86_64-linux-gnu/libdatrie.so.1.3.1
mate-sess 17532 sedna  mem       REG                8,1   112936  140601 /usr/lib/x86_64-linux-gnu/libgraphite2.so.3.0.1
mate-sess 17532 sedna  mem       REG                8,1   170064  524620 /lib/x86_64-linux-gnu/libexpat.so.1.6.0
mate-sess 17532 sedna  mem       REG                8,1    36936  141325 /usr/lib/x86_64-linux-gnu/libthai.so.0.2.0
mate-sess 17532 sedna  mem       REG                8,1   347024  140738 /usr/lib/x86_64-linux-gnu/libharfbuzz.so.0.927.0
mate-sess 17532 sedna  mem       REG                8,1    34912  141608 /usr/lib/x86_64-linux-gnu/libxcb-render.so.0.0.0
mate-sess 17532 sedna  mem       REG                8,1    10336  141616 /usr/lib/x86_64-linux-gnu/libxcb-shm.so.0.0.0
mate-sess 17532 sedna  mem       REG                8,1   153936  524726 /lib/x86_64-linux-gnu/libpng12.so.0.50.0
mate-sess 17532 sedna  mem       REG                8,1   690968  141081 /usr/lib/x86_64-linux-gnu/libpixman-1.so.0.30.2
mate-sess 17532 sedna  mem       REG                8,1   666080  140368 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.11.1
mate-sess 17532 sedna  mem       REG                8,1    22616  139887 /usr/lib/x86_64-linux-gnu/libXdmcp.so.6.0.0
mate-sess 17532 sedna  mem       REG                8,1    38920  524669 /lib/x86_64-linux-gnu/libnih-dbus.so.1.0.0
mate-sess 17532 sedna  mem       REG                8,1    96280  524671 /lib/x86_64-linux-gnu/libnih.so.1.0.0
mate-sess 17532 sedna  mem       REG                8,1   108480  524603 /lib/x86_64-linux-gnu/libcgmanager.so.0.0.0
mate-sess 17532 sedna  mem       REG                8,1   252032  524714 /lib/x86_64-linux-gnu/libpcre.so.3.13.1
mate-sess 17532 sedna  mem       REG                8,1    30944  140302 /usr/lib/x86_64-linux-gnu/libffi.so.6.0.1
mate-sess 17532 sedna  mem       REG                8,1    31792  524739 /lib/x86_64-linux-gnu/librt-2.19.so
mate-sess 17532 sedna  mem       REG                8,1   101240  524737 /lib/x86_64-linux-gnu/libresolv-2.19.so
mate-sess 17532 sedna  mem       REG                8,1   134296  524741 /lib/x86_64-linux-gnu/libselinux.so.1
mate-sess 17532 sedna  mem       REG                8,1   100728  524776 /lib/x86_64-linux-gnu/libz.so.1.2.8
mate-sess 17532 sedna  mem       REG                8,1    10248  139883 /usr/lib/x86_64-linux-gnu/libXdamage.so.1.1.0
mate-sess 17532 sedna  mem       REG                8,1    10232  139875 /usr/lib/x86_64-linux-gnu/libXcomposite.so.1.0.0
mate-sess 17532 sedna  mem       REG                8,1    39232  139879 /usr/lib/x86_64-linux-gnu/libXcursor.so.1.0.2
mate-sess 17532 sedna  mem       REG                8,1    39128  139921 /usr/lib/x86_64-linux-gnu/libXrandr.so.2.2.0
mate-sess 17532 sedna  mem       REG                8,1    63880  139905 /usr/lib/x86_64-linux-gnu/libXi.so.6.1.0
mate-sess 17532 sedna  mem       REG                8,1    10376  139909 /usr/lib/x86_64-linux-gnu/libXinerama.so.1.0.0
mate-sess 17532 sedna  mem       REG                8,1   141574  524731 /lib/x86_64-linux-gnu/libpthread-2.19.so
mate-sess 17532 sedna  mem       REG                8,1  1071552  524651 /lib/x86_64-linux-gnu/libm-2.19.so
mate-sess 17532 sedna  mem       REG                8,1   244704  140333 /usr/lib/x86_64-linux-gnu/libfontconfig.so.1.8.0
mate-sess 17532 sedna  mem       REG                8,1   315672  141040 /usr/lib/x86_64-linux-gnu/libpango-1.0.so.0.3600.3
mate-sess 17532 sedna  mem       REG                8,1    86056  141048 /usr/lib/x86_64-linux-gnu/libpangoft2-1.0.so.0.3600.3
mate-sess 17532 sedna  mem       REG                8,1  1086808  140081 /usr/lib/x86_64-linux-gnu/libcairo.so.2.11301.0
mate-sess 17532 sedna  mem       REG                8,1   138096  139999 /usr/lib/x86_64-linux-gnu/libatk-1.0.so.0.21009.1
mate-sess 17532 sedna  mem       REG                8,1    22584  139895 /usr/lib/x86_64-linux-gnu/libXfixes.so.3.1.0
mate-sess 17532 sedna  mem       REG                8,1    52528  141044 /usr/lib/x86_64-linux-gnu/libpangocairo-1.0.so.0.3600.3
mate-sess 17532 sedna  mem       REG                8,1    14592  140473 /usr/lib/x86_64-linux-gnu/libgmodule-2.0.so.0.4002.0
mate-sess 17532 sedna  mem       REG                8,1    14664  524615 /lib/x86_64-linux-gnu/libdl-2.19.so
mate-sess 17532 sedna  mem       REG                8,1   125392  141636 /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
mate-sess 17532 sedna  mem       REG                8,1    18936  524771 /lib/x86_64-linux-gnu/libuuid.so.1.3.0
mate-sess 17532 sedna  mem       REG                8,1  1840928  524598 /lib/x86_64-linux-gnu/libc-2.19.so
mate-sess 17532 sedna  mem       REG                8,1    55384  524753 /lib/x86_64-linux-gnu/libsystemd-login.so.0.7.1
mate-sess 17532 sedna  mem       REG                8,1  1078368  524629 /lib/x86_64-linux-gnu/libglib-2.0.so.0.4002.0
mate-sess 17532 sedna  mem       REG                8,1   330904  140507 /usr/lib/x86_64-linux-gnu/libgobject-2.0.so.0.4002.0
mate-sess 17532 sedna  mem       REG                8,1   281552  524612 /lib/x86_64-linux-gnu/libdbus-1.so.3.7.6
mate-sess 17532 sedna  mem       REG                8,1   160832  140186 /usr/lib/x86_64-linux-gnu/libdbus-glib-1.so.2.2.2
mate-sess 17532 sedna  mem       REG                8,1   134496  140413 /usr/lib/x86_64-linux-gnu/libgdk_pixbuf-2.0.so.0.3000.7
mate-sess 17532 sedna  mem       REG                8,1  1513096  140446 /usr/lib/x86_64-linux-gnu/libgio-2.0.so.0.4002.0
mate-sess 17532 sedna  mem       REG                8,1   732472  140410 /usr/lib/x86_64-linux-gnu/libgdk-x11-2.0.so.0.2400.27
mate-sess 17532 sedna  mem       REG                8,1  4428264  140710 /usr/lib/x86_64-linux-gnu/libgtk-x11-2.0.so.0.2400.27
mate-sess 17532 sedna  mem       REG                8,1    14456  139868 /usr/lib/x86_64-linux-gnu/libXau.so.6.0.0
mate-sess 17532 sedna  mem       REG                8,1    73288  139891 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
mate-sess 17532 sedna  mem       REG                8,1    22880  139933 /usr/lib/x86_64-linux-gnu/libXtst.so.6.1.0
mate-sess 17532 sedna  mem       REG                8,1  1265072  139862 /usr/lib/x86_64-linux-gnu/libX11.so.6.3.0
mate-sess 17532 sedna  mem       REG                8,1    39352  139925 /usr/lib/x86_64-linux-gnu/libXrender.so.1.3.0
mate-sess 17532 sedna  mem       REG                8,1    98288  139661 /usr/lib/x86_64-linux-gnu/libICE.so.6.3.0
mate-sess 17532 sedna  mem       REG                8,1    30896  139852 /usr/lib/x86_64-linux-gnu/libSM.so.6.0.1
mate-sess 17532 sedna  mem       REG                8,1   149120  524572 /lib/x86_64-linux-gnu/ld-2.19.so
mate-sess 17532 sedna  mem       REG                8,1   336528  661829 /usr/share/glib-2.0/schemas/gschemas.compiled
mate-sess 17532 sedna  DEL       REG                8,1           785761 /home/sedna/.config/dconf/user
mate-sess 17532 sedna  DEL       REG               0,21            40274 /run/user/1000/dconf/user
mate-sess 17532 sedna  mem       REG                8,1    26258  139041 /usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache
mate-sess 17532 sedna  mem       REG                8,1     9211 1063796 /usr/share/locale/en_US/LC_MESSAGES/mate-session-manager.mo
mate-sess 17532 sedna    0r      CHR                1,3      0t0    6447 /dev/null
mate-sess 17532 sedna    1w      CHR                1,3      0t0    6447 /dev/null
mate-sess 17532 sedna    2w      REG                8,1     4429  785346 /home/sedna/.xsession-errors
mate-sess 17532 sedna    3u     unix 0x0000000000000000      0t0   40205 socket
mate-sess 17532 sedna    4u     0000                0,9        0    6402 anon_inode
mate-sess 17532 sedna    5u     0000                0,9        0    6402 anon_inode
mate-sess 17532 sedna    6u     unix 0x0000000000000000      0t0   40214 socket
mate-sess 17532 sedna    7u     unix 0x0000000000000000      0t0   40224 socket
mate-sess 17532 sedna    8u     0000                0,9        0    6402 anon_inode
mate-sess 17532 sedna    9u     unix 0x0000000000000000      0t0   40275 @/tmp/.ICE-unix/17532
mate-sess 17532 sedna   10u     unix 0x0000000000000000      0t0   40276 /tmp/.ICE-unix/17532
mate-sess 17532 sedna   11r     FIFO                0,8      0t0   40311 pipe
mate-sess 17532 sedna   12w     FIFO                0,8      0t0   40277 pipe
mate-sess 17532 sedna   13w     FIFO                0,8      0t0   40311 pipe
mate-sess 17532 sedna   14u     unix 0x0000000000000000      0t0   40312 socket
mate-sess 17532 sedna   15u     0000                0,9        0    6402 anon_inode
mate-sess 17532 sedna   16u     unix 0x0000000000000000      0t0   40640 @/tmp/.ICE-unix/17532
mate-sess 17532 sedna   17u     unix 0x0000000000000000      0t0   40730 @/tmp/.ICE-unix/17532
mate-sess 17532 sedna   18u     unix 0x0000000000000000      0t0   40791 @/tmp/.ICE-unix/17532
